NO,KOTA,TUJUAN BONGKAR, TARIF , TONASE , JUMLAH , SANGU SUPIR , PROFIT , TAMBAHAN TONASE ,,,,,
52,PASURUAN,CV.DUTA PAVING MANDIRI (PASURUAN),  114.757 ,  31 ,  3.557.452 ,  1.849.875 ,  1.707.577 ,  35.000 ,,,,,
53,PASURUAN,DUTA BANGSA PT.,  114.757 ,  31 ,  3.557.452 ,  1.849.875 ,  1.707.577 ,  35.000 ,,,,,
54,MALANG,RDM VUB MALANG,  136.296 ,  31 ,  4.225.176 ,  2.281.595 ,  1.943.581 ,  40.000 ,,,,,
55,MALANG,DUTA BANGSA MANDIRI PV MALANG,  136.296 ,  31 ,  4.225.176 ,  2.281.595 ,  1.943.581 ,  40.000 ,,,,,
56,LAMONGAN,TIRTOBUMI ADYATUNGGAL PT.,  74.306 ,  31 ,  2.303.477 ,  1.151.738 ,  1.151.738 ,  25.000 ,,,,,
57,LAMONGAN,EDOMIX BETON READYMIX.CV,  74.306 ,  31 ,  2.303.477 ,  1.151.738 ,  1.151.738 ,  25.000 ,,,,,
58,TUBAN,VUB / PRY PERTAMINA LPG THP 2,  40.857 ,  31 ,  1.266.561 ,  569.952 ,  696.608 ,  20.000 ,,,,,
59,BOJONEGORO,RDM BETON BUDI MULYA PL KALITIDU,  82.906 ,  31 ,  2.570.086 ,  1.250.000 ,  1.320.086 ,  20.000 ,,,,,
60,BOJONEGORO,LANTAI MAS CV.,  82.906 ,  31 ,  2.570.086 ,  1.105.137 ,  1.464.949 ,  20.000 ,,,,,
61,JOMBANG,TRIPALINDO TRANS MIX PL JOMBANG,  103.334 ,  31 ,  3.203.366 ,  1.600.000 ,  1.603.367 ,  30.000 ,,,,,
62,TULUNGAGUNG,RDM GORIP NANDAGUNA-JLS TULUNGAGUNG,  157.784 ,  31 ,  4.891.295 ,  2.543.473 ,  2.347.821 ,  40.000 ,,,,,
63,MADIUN,RDM CIA MIX / PRY PASAR BESAR NGAWI,  143.150 ,  31 ,  4.437.653 ,  2.307.580 ,  2.130.073 ,  40.000 ,,,,,
64,NGAWI,SUMBER BETON UTAMA PT,  113.270 ,  31 ,  3.511.382 ,  1.755.691 ,  1.755.691 ,  40.000 ,,,,,
65,PONOROGO,CV. PASTIKA DIPTA,  165.494 ,  31 ,  5.130.314 ,  2.667.763 ,  2.462.551 ,  40.000 ,,,,,
66,JEMBER,DUTA BANGSA CV.,  169.309 ,  31 ,  5.248.591 ,  2.624.296 ,  2.624.296 ,  50.000 ,,,,,
67,PROBOLINGGO,VUB PROBOLINGGO / PRY TOL PROBOWANG,  113.668 ,  31 ,  3.523.702 ,  2.043.747 ,  1.479.955 ,  30.000 ,,,,,
68,SITUBONDO,DUTA BANGSA MANDIRI PV SITUBONDO,  165.335 ,  31 ,  5.125.385 ,  2.600.000 ,  2.525.385 ,  40.000 ,,,,,
69,SITUBONDO,"PERUSAHAAN TEGEL & BETON ""ACC""",  165.335 ,  31 ,  5.125.385 ,  2.562.693 ,  2.562.693 ,  40.000 ,,,,,
70,GRESIK,RDM VUB GRESIK / PRY GRS SBY,  76.309 ,  31 ,  2.365.564 ,  1.450.090 ,  915.473 ,  25.000 ,,,,,
71,BANYUWANGI,PP SMI BANYUWANGI,  179.712 ,  31 ,  5.571.072 ,  2.896.957 ,  2.674.115 ,  40.000 ,,,,,
72,KEDIRI,,  92.448 ,  31 ,  2.865.888 ,  1.850.000 ,  1.015.888 ,  30.000 ,,,,,
73,PROBOLINGGO - RUAS BESUKI,VUB PROBOLINGGO / PRY TOL PROBOWANG,  130.464 ,  31 ,  4.044.384 ,  2.224.411 ,  1.819.973 ,  30.000 ,,,,,
74,MAGELANG,Alam daya sejahtera,  196.733 ,  31 ,  6.098.717 ,  3.200.000 ,  2.898.717 ,  50.000 ,2 April 26 naik dr 31 ke 32 khusus miwa,,,,
75,BLORA,,  101.477 ,  31 ,  3.145.781 ,  1.700.000 ,  1.445.781 ,  30.000 ,,,,,
76,SURABAYA,,  81.335 ,  31 ,  2.521.385 ,  1.311.120 ,  1.210.265 ,  30.000 ,,,,,
77,BREBES,,  201.756 ,  31 ,  6.254.436 ,  3.252.307 ,  3.002.129 ,  50.000 ,,,,,
78,BANYUMAS,,  208.980 ,  31 ,  6.478.380 ,  3.563.109 ,  2.915.271 ,  50.000 ,,,,,
79,KUDUS,MITRA BETON PERKASA (KUDUS),  77.899 ,,,,,,,,,,
80,Tegal,,  164.000 ,  31 ,  5.084.000 ,  3.050.400 ,  2.033.600 ,  50.000 ,,,,,
,,,,,,,,,,,,,
,NOTE :,TAMBAHAN DI HITUNG DIMULAI DARI 32 TON,,,,,,,,,,,
,,TONASE TIDAK BOLEH MELEBIHI 34,,,,,,,,,,,
