NO.,MOVEMENT,MATERIAL GROUP,SALES DISTRICT,City Code,City Desc,"Jarak
(Km)",OA ,TONASE,,,,,,
,,,,,,,SATRIA PERWIRA,,JUMLAH,SANGU ,PROFIT, TAMBAHAN ,,
130,DOMESTIK,CURAH,SIDOARJO,DG04,PRAMBON SIDOARJO,170,"  107.541,28 ",31,"  3.333.779,68 ","  1.666.889,84 ","  1.666.889,84 ",  50.000 ,,
131,DOMESTIK,CURAH,SIDOARJO,DG03,WARU,170,"  107.389,92 ",31,"  3.329.087,52 ","  1.664.543,76 ","  1.664.543,76 ",  50.000 ,,
132,DOMESTIK,CURAH,SIDOARJO,DG05,BALONGBENDO,170,"  107.389,92 ",31,"  3.329.087,52 ","  1.664.543,76 ","  1.664.543,76 ",  50.000 ,,
133,DOMESTIK,CURAH,SIDOARJO,DG08,TUNGGULANGIN,170,"  107.389,92 ",31,"  3.329.087,52 ","  1.664.543,76 ","  1.664.543,76 ",  50.000 ,,
134,DOMESTIK,CURAH,SITUBONDO,DI05,BANYUPUTIH SITUBONDO,310,"  179.361,60 ",31,"  5.560.209,60 ","  2.780.104,80 ","  2.780.104,80 ",  50.000 ,,
135,DOMESTIK,CURAH,SITUBONDO,DI01,SITUBONDO,310,"  179.361,60 ",31,"  5.560.209,60 ","  2.780.104,80 ","  2.780.104,80 ",  50.000 ,,
136,DOMESTIK,CURAH,SLEMAN,CA11,KALASAN,320,"  181.632,00 ",31,"  5.630.592,00 ","  3.113.717,38 ","  2.516.874,62 ",  50.000 ,,
137,DOMESTIK,CURAH,SLEMAN,CA15,SLEMAN,320,"  181.632,00 ",31,"  5.630.592,00 ","  2.815.296,00 ","  2.815.296,00 ",  50.000 ,,
138,DOMESTIK,CURAH,SLEMAN,CA12,PRAMBANAN,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
139,DOMESTIK,CURAH,SLEMAN,CA52,MLATI,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
140,DOMESTIK,CURAH,SLEMAN,CA47,NGEMPLAK,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
141,DOMESTIK,CURAH,SRAGEN,BI39,SAMBUNG MACAN,250,"  146.062,40 ",31,"  4.527.934,40 ","  2.490.363,92 ","  2.037.570,48 ",  50.000 ,,
142,DOMESTIK,CURAH,SRAGEN,BI08,GEMOLONG,260,"  154.916,96 ",31,"  4.802.425,76 ","  2.401.212,88 ","  2.401.212,88 ",  50.000 ,,
143,DOMESTIK,CURAH,SRAGEN,BI36,SRAGEN,260,"  154.916,96 ",31,"  4.802.425,76 ","  2.401.212,88 ","  2.401.212,88 ",  50.000 ,,
144,DOMESTIK,CURAH,SRAGEN,BI38,NGRAMPAL,250,"  148.938,24 ",31,"  4.617.085,44 ","  2.308.542,72 ","  2.308.542,72 ",  50.000 ,,
145,DOMESTIK,CURAH,SRAGEN,BI70,MASARAN,260,"  154.916,96 ",31,"  4.802.425,76 ","  2.401.212,88 ","  2.401.212,88 ",  50.000 ,,
146,DOMESTIK,CURAH,SRAGEN,BI73,TANON,280,"  164.225,60 ",31,"  5.090.993,60 ","  2.545.496,80 ","  2.545.496,80 ",  50.000 ,,
147,DOMESTIK,CURAH,SUKOHARJO,BI18,SUKOHARJO,280,"  164.989,40 ",31,"  5.114.671,40 ","  2.557.335,70 ","  2.557.335,70 ",  50.000 ,"  164.225,60 ",
148,DOMESTIK,CURAH,SUMENEP,DJ50,SUMENEP,310,"  177.091,20 ",31,"  5.489.827,20 ","  2.744.913,60 ","  2.744.913,60 ",  50.000 ,,
149,DOMESTIK,CURAH,SURABAYA,DG11,SURABAYA,150,"  97.244,90 ",28,"  2.722.857,20 ","  1.606.485,75 ","  1.116.371,45 ",  50.000 ,"UJ Fix 1599999,99579644",
