NO,TANGGAL,PENGELUARAN,,NOMINAL,ADMIN,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,,"Jasa Stel Rem, Handrem, Bearing, Bushing Perseneling",,"150.000,00",,Mbah Datuk,,,,,,,,
,,,,,,,,,,,,,,
,"Rabu, 3 Juni 2026",Kontrol Angin,,"20.000,00",,Adi Jaya Ban,,,,,,,,
,,Semprot Filter Udara,,"15.000,00",,Adi Jaya Ban,,,,,,,,
,,Semprot Filter Hore,,"10.000,00",,Adi Jaya Ban,,,,,,,,
,,Semprot Radiator ,,"20.000,00",,Adi Jaya Ban,,,,,,,,
,"Sabtu, 6 Juni 2026",Kir Mas Mawan,,"75.000,00",,,,,,,,,,
,"Minggu, 7 Juni 2026",Cuci Truk,,"70.000,00",,Haji Mudjianto Tuban,,,,,,,,
,,HCL ,2 pcs ,"40.000,00",,Haji Mudjianto Tuban,,,,,,,,
,,Jasa Cuci HCL,,"50.000,00",,Haji Mudjianto Tuban,,,,,,,,
,"Senin, 8 Juni 2026",STNK 12/12,,"900.000,00",,,,,,,,,,
,"Selasa, 9 Juni 2026",Filter Solar Bawah HOP,1 pcs,"170.000,00",,Lancar Jenu,"Stok filter solar atas 1 beli di- Nova, Bawah 1 beli di- Nova",,,,,,,
,"Selasa, 16 Juni 2026",Filter Solar Bawah HOP,1 pcs,"100.000,00",,Temen mas Rul,"Stok filter solar atas 1, Bawah 2",,,,,,,
,"Selasa, 16 Juni 2026",GPS Easygo (SI) 11/12,,"122.100,00",,,,,,,,,,
,"Selasa, 16 Juni 2026",GPS Inova Track (SBI) 10/12,,"166.500,00",,,,,,,,,,
,,Pak Udin Stop,,"300.000,00",,,,,,,,,,
,,,,,,,,,,,,,,
,"Sabtu, 4 Juli 2026",Meditran SX 14 Liter,14 liter,"910.000,00",,Mbah Datuk,KM GPS 656.062,,,,,,,
,,Filter Oli,1 pcs,"0,00",,Nova,Stok Filter Oli 0,,,,,,,
,,Seal Tromol,1 pcs,"90.000,00",,Mbah Datuk,,,,,,,,
,,Stempet Rotari,2 pcs,"120.000,00",,Mbah Datuk,,,,,,,,
,,Repair Kit Snel Rem,1 pcs,"350.000,00",,Mbah Datuk,,,,,,,,
,,Minyak Rem Jumbo,1 pcs,"80.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Ganti Karet Stabil ,4 pcs ,"200.000,00",,Mbah Datuk,,,,,,,,
,,Jasa Ganti Seal Tromol Rem Depan,1 pcs,"150.000,00",,Mbah Datuk,,,,,,,,
,,"Servis Oli Mesin, Filter Oli, Filter Solar Atas Bawah",1 pcs,"100.000,00",,Mbah Datuk,"KM GPS 656.062, Stok filter solar atas 0, Bawah 1",,,,,,,
,,Jasa Ganti Snel Rem,1 pcs,"250.000,00",,Mbah Datuk,,,,,,,,
,"Rabu, 8 Juli 2026",STNK 1/12 2026,,"900.000,00",,,,,,,,,,
,"Senin, 13 Juli 2026",Ban Duraturn 1100,1 pcs,"4.323.780,00",,Shopee,,,,,,,,
,,Ban Duraturn 1100,1 pcs,"4.342.150,00",,Shopee,,,,,,,,
,"Senin, 13 Juli 2026",Bongkar Pasang Ban Baru,2 pcs,"80.000,00",,Adi Jaya Iyus,,,,,,,,
,,Oper Ban,2 pcs,"60.000,00",,Adi Jaya Iyus,,,,,,,,
,,Jasa Bongkar Pasang Baut Roda ,,"50.000,00",,Adi Jaya Iyus,,,,,,,,
,,Kontrol Angin,,"20.000,00",,Adi Jaya Iyus,,,,,,,,
,,Semprot Filter ,,"10.000,00",,Adi Jaya Iyus,,,,,,,,
,,Semprot Radiator ,,"20.000,00",,Adi Jaya Iyus,,,,,,,,
,"Kamis, 16 Juli 2026",Cuci HCL,,"120.000,00",,Haji Mudjianto Tuban,,,,,,,,
,"Kamis, 16 Juli 2026",GPS Easygo (SI) 12/12,,"122.100,00",,,,,,,,,,
,"Kamis, 16 Juli 2026",GPS Inova Track (SBI) 11/12,,"166.500,00",,,,,,,,,,
,"Kamis, 16 Juli 2026",Karet Stabil Sudah Dipasang,2 pcs,"100.000,00",,Temen Mas Yon,,,,,,,,
,"Senin, 20 Juli 2026",Valve Tangki,2 pcs,"400.000,00",,Temen Mas Rul,Beli April ,,,,,,,
,,Jasa Ganti Valve,2 pcs,"100.000,00",,Pak Yanto Tangki,,,,,,,,
,,Perbaikkan Ganti Kaca Kontrol Oli Hori,1 pcs,"100.000,00",,Pak Yanto Tangki,Rembes oli dari kaca intip,,,,,,,
,,Las Pipa Pendorong,1 pcs,"100.000,00",,Pak Yanto Tangki,,,,,,,,
,"Rabu, 22 Juli 2026",Servis Radiator Sogrok + Tambal Bocor + Storing + Bongkar Pasang,,"380.000,00",,Enggal Maju Tuban,,,,,,,,
,"Kamis, 23 Juli 2026",Coolant Hikari,4 pcs,"158.710,00",,Shopee,Stok Coolant,,,,,,,
,"Kamis, 23 Juli 2026",Packing Head Marusan,1 pcs,"1.000.000,00",,Jaya Subur,,,,,,,,
,,Lem Gasket,1 pcs,"45.000,00",,Jaya Subur,,,,,,,,
,,Lem Treebon,2 pcs,"70.000,00",,Jaya Subur,,,,,,,,
,,Ongkos Kirim,,"85.000,00",,Jaya Subur,,,,,,,,
,,Jasa Ganti Packing Head dan Storing,,"1.200.000,00",,Pak Po,,,,,,,,
,,Makan tim pak Po,,"95.000,00",,Pak Po,,,,,,,,
,,Bensin bersih-bersih,,"20.000,00",,Pak Po,,,,,,,,
,"Sabtu, 25 Juli 2026",Baut Roda Baru,3 pcs,"195.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,,Jasa Bongkar Pasangan Baut Roda Engkel Kanan,4 pcs,"150.000,00",,Adi Jaya Ban Iyus,"Stok Baut Roda Belakang Kanan Habis, Terpakai 1. Sisa Kiri 5 pcs",,,,,,,
,"Minggu, 26 Juli 2026",Repair Valve Ganti Karet,2 pcs,"400.000,00",,Pak Yanto Tangki,,,,,,,,
,,Bongkar Pasang Valve Nomer 1 Kena Besi (Ganti 1 Valve Repair),1 pcs,"50.000,00",,Pak Yanto Tangki,,,,,,,,
,"Senin, 27 Juli 2026",Vet Komplit,,"60.000,00",,Sis Putri Kembar,,,,,,,,
,,,,,,,,,,,,,,
,"Sabtu, 8 Agustus 2026",Lampu LED Rem,2 pcs,"80.000,00",,RSP Electric Diki,,,,,,,,
,"Sabtu, 8 Agustus 2026",STNK 2/12 2026,,"900.000,00",,,,,,,,,,
,"Rabu, 12 Agustus 2026",Baut Roda Belakang Kanan,1 pcs ,"65.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,,Ongkos Bongkar Pasang Baut Roda+Kontrol Baut Roda Semua,,"70.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,,Kontrol Angin,,"20.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,,Semprot Filter ,,"10.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,,Semprot Filter Udara,,"20.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,"Jumat, 14 Agustus 2026",Ban Dalam Baru GT (Stir Kanan Rusak),1 pcs ,"270.000,00",,Bang Trisz Pati,,,,,,,,
,,Pasang+Impact,,"50.000,00",,,,,,,,,,
,"Minggu, 16 Agustus 2026",GPS Easygo (SI) 1/12,,"122.100,00",,,,,,,,,,
,"Minggu, 16 Agustus 2026",GPS Inova Track (SBI) 12/12,,"166.500,00",,,Stop GPS ,,,,,,,
,"Rabu, 19 Agustus 2026",Baut Roda Belakang Kanan,2 pcs,"90.000,00",,Lancar Jenu,,,,,,,,
,,Meditran SX 4 Liter,1 galon,"300.000,00",,Lancar Jenu,,,,,,,,
,"Jumat, 21 Agustus 2026",Pasang Ban serep+Impact Tronton Kanan,,"30.000,00",,Putra Pantura Kudus,,,,,,,,
,,Kontrol Angin,,"25.000,00",,,,,,,,,,
,"Senin, 24 Agustus 2026",Kerok Semen Lengket,,"125.000,00",,Parkiran Tuban,Jasa 250.000 dibagi 2,,,,,,,
,"Rabu, 26 Agustus 2026",Kontrol Angin,,"40.000,00",,Ketapang Jaya Glondonggede,,,,,,,,
,"Rabu, 26 Agustus 2026",Cuci Truk,,"70.000,00",,Asiyah Tuban,,,,,,,,
,,HCL ,1 pcs ,"20.000,00",,Asiyah Tuban,,,,,,,,
,,Jasa Cuci HCL,,"50.000,00",,Asiyah Tuban,,,,,,,,
,,,,,,,,,,,,,,
,"Selasa, 1 September 2026",Kontrol Ban,,"20.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,,Semprot Filter Udara,,"10.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,,Semprot Radiator,,"20.000,00",,Adi Jaya Ban Iyus,,,,,,,,
,"Selasa, 1 September 2026",Las Kendangan Knalpot + Ganti Baut Gantungan Knalpot,,"150.000,00",,Pak Nor Tuban,,,,,,,,
,,Las Kerekan Ban Cadangan,,"50.000,00",,Pak Nor Tuban,,,,,,,,
,,,,,,,,,,,,,,
,"Rabu, 2 September 2026",Cuci Bagi 2 Kena Batu Bara Lagi,,"45.000,00",,,,,,,,,,
,,UJ Kosongan SI Tuban ke SI Rembang,,"200.000,00",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Senin, 7 September 2026",Ganti Couple PTO Hori + Storing Lasem Rembang ,,"350.000,00",,Pak Muri Rembang,,,,,,,,
,,Flange Couple Joint PTO Hori,,"300.000,00",,Pak Muri Rembang,,,,,,,,
,,Ring + Mur,,"5.000,00",,Pak Muri Rembang,,,,,,,,
,"Selasa, 8 September 2026",STNK 3/12 2026,,"900.000,00",,,,,,,,,,
,"Rabu, 9 September 2026",Tambal Ban Engkel Kanan + Impact,,"70.000,00",,Tambal Ban Dua Putra,,,,,,,,
,"Sabtu, 12 September 2026",Baut Roda Belakang Kanan,3 pcs ,"50.000,00",,Lancar Motor Rembang,"Stok Baut Roda Belakang Kanan 3 pcs, Kiri 5 pcs",,,,,,,
,,Meditran SX 4 Liter,1 galon,"280.000,00",,Lancar Motor Rembang,,,,,,,,
,,Kabel Penghubung Aki,1 pcs ,"75.000,00",,Lancar Motor Rembang,,,,,,,,
,,Filter Solar Atas HOP,1 pcs ,"45.000,00",,Lancar Motor Rembang,"Stok filter solar atas 1, Bawah 2",,,,,,,
,,Filter Solar Bawah HOP,1 pcs ,"165.000,00",,Lancar Motor Rembang,,,,,,,,
,"Rabu, 16 September 2026",GPS Easygo (SI) 2/12,,"122.100,00",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"689.577.306,01","47.500,00",,,,,,,,,
,,,Total ,"689.624.806,01",,,,,,,,,,
,,,,,,,,,,,,,,
,,,Truk,"530.000.000,00",,,,,,,,,,
,,,STNK + Jasa Lain2,"14.340.000,00","47.500,00",,,,,,,,,
,,,GPS,"850.000,00",,,,,,,,,,
,,,Juni,"31.739.698,00",,,,,,,,,,
,,,Juli,"6.610.600,00",,,,,,,,,,
,,,Agustus ,"6.440.900,00",,,,,,,,,,
,,,September ,"7.551.152,00",,,,,,,,,,
,,,Oktober,"12.600.977,01",Ban Terjual 2.000.000,,,,,,,,,
,,,November,"3.490.939,00","1.509.061,00",,,,,,,,,
,,,Desember,"6.543.600,00","-5.034.539,00",,,,,,,,,
,,,Januari 2026,"7.668.600,00",,,,,,,,,,
,,,Februari 2026,"10.702.600,00",,,,,,,,,,
,,,Maret 2026,"4.725.600,00",,,,,,,,,,
,,,April 2026,"2.773.600,00",,,,,,,,,,
,,,Mei 2026,"12.058.600,00",,,,,,,,,,
,,,Juni 2026,"1.458.600,00","3.541.400,00",Pak Udin Stop 300.000,,,,,,,,
,,,Juli 2026,"13.631.840,00",,,,,,,,,,
,,,Agustus 2026,"2.523.600,00",,,,,,,,,,
,,,September 2026,"2.857.100,00",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Total Koreksi,"678.615.506,01",,April Khusus Mas Dhian Tgl 1-23,April Khusus Mas Dhian Tgl 1-23,,,,,,,
,,,Perbaikkan dari 25 Juli,"8.496.400,00",,"2.723.600,00","50.000,00",,,,,,,
,,,Sebelum 25 Juli,"670.119.106,01",,,,,,,,,,
,,,Total Koreksi Dari 25 Juli,"678.615.506,01",,,,,,,,,,
,,,,,,,,,,,,,,
,,,Perbaikkan dari 25 Sep,"680.000,00",,,,,,,,,,
