NO,TANGGAL,PENGELUARAN,,NOMINAL,ADMIN,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,,Seal Oil Angin TC55-70-9,2 pcs,"150.000,00",,Pak Yanto Pereng Tuban,,,,,,,,
,,Cross Joint PTO GOM 88,1 pcs,"100.000,00",,Pak Yanto Pereng Tuban,,,,,,,,
,,Jasa Perbaikkan ,,"550.000,00",,Pak Yanto Pereng Tuban,,,,,,,,
,"Selasa, 12 Agustus 2025",Bongkar Pasang Per Babok Belakang 154cm,,"250.000,00",,Mbah Datuk Tuban,Per Babok Bawah Patah,,,,,,,
,,Stempet Cobra,,"35.000,00",,Mbah Datuk Tuban,,,,,,,,
,"Selasa, 12 Agustus 2025",Las & Repair Pangkon Selang Gajah,,"125.000,00",,Pak Nor Tuban,"Segel selang putus terus, dimundurkan ",,,,,,,
,,Las + Napel Velg Retak,,"100.000,00",,Pak Nor Tuban,Velg Retak,,,,,,,
,"Selasa, 12 Agustus 2025",Baut Roda Belakang Kanan,1 pcs,"65.000,00",,Adi Jaya Ban Tuban ,Baut Roda Patah,,,,,,,
,,Jasa Bongkar Pasang Baut Roda,,"50.000,00",,Adi Jaya Ban Tuban ,,,,,,,,
,,Jasa Tukar Velg,2 pcs,"40.000,00",,Adi Jaya Ban Tuban ,Velg Retak,,,,,,,
,"Kamis, 14 Agustus 2025",Las Pengaman Samping Belakang (Plat Siku),,"100.000,00",,Pati,Las Lepas,,,,,,,
,"Jumat, 15 Agustus 2025",GPS Easygo (SI) 2/12,,"122.100,00",,,,,,,,,,
,"Sabtu, 30 Agustus 2025",Seal Rem Depan,2 pcs,"40.000,00",,,,,,,,,,
,,Stempet Rotari,2 pcs,"90.000,00",,,,,,,,,,
,,Seal Tromol Depan,1 pcs,"70.000,00",,,,,,,,,,
,,Minyak Rem Jumbo,1 liter,"70.000,00",,,,,,,,,,
,,Jasa Bongkar Pasang Seal Rem,,"150.000,00",,,,,,,,,,
,,STEL Rem + Hand Rem,,"50.000,00",,,,,,,,,,
,,Las Baut Wheel Dop,,"50.000,00",,,,,,,,,,
,"Sabtu, 30 Agustus 2025",Semprot Filter Udara,,"10.000,00",,,,,,,,,,
,,Semprot Radiator,,"20.000,00",,,,,,,,,,
,,Kontrol Ban,,"20.000,00",,,,,,,,,,
,,,,,,,,,,,,,,
,"Selasa, 2 September 2025",Baut Roda Belakang Kiri,4 pcs,"320.000,00",,Gio Ban Sragen,Patah baut roda belakang kiri 8 pcs,,,,,,,
,,Impact Roda Kiri Depan Belakang+Bongkar Pasang Ganti Baut,,"150.000,00",,Gio Ban Sragen,,,,,,,,
,,Las Untuk Lepas Baut Roda Kiri,6 pcs,"120.000,00",,Gio Ban Sragen,,,,,,,,
,,Impact Kontrol Roda Kanan Depan Belakang,,"50.000,00",,Gio Ban Sragen,,,,,,,,
,,Baut Roda Hino Belakang Kiri ,4 pcs,"320.000,00",,Sragen,Toko,,,,,,,
,,Tips Mas Yono,,"40.000,00",,Sragen,,,,,,,,
,"Minggu, 7 September 2025",STNK 3/12,,"400.000,00",,,,,,,,,,
,"Senin, 8 September 2025",GPS Easygo (SI) 3/12,,"122.100,00",,,,,,,,,,
,"Senin, 8 September 2025",Baut Roda Belakang Kanan,3 pcs,"150.000,00",,Jaya Subur,Stok kanan 3,,,,,,,
,,Baut Roda Belakang Kiri,3 pcs,"150.000,00",,Jaya Subur,Stok kiri 3 (dipinjam 2),,,,,,,
,"Senin, 8 September 2025",Air Cuci Truk,,"70.000,00",,H.Mudjianto Tuban,,,,,,,,
,,HCL,2 pcs,"35.000,00",,H.Mudjianto Tuban,,,,,,,,
,,Tukang Cuci HCL,,"50.000,00",,H.Mudjianto Tuban,,,,,,,,
,"Rabu, 10 September 2025",Bushing Stang Perseneling Atas,1 set ,"100.000,00",,Lancar Jaya Jenu,,,,,,,,
,,Kabel Gas,1 pcs,"50.000,00",,Lancar Jaya Jenu,,,,,,,,
,,Kabel Handle Perseneling ,1 pcs,"300.000,00",,Lancar Jaya Jenu,,,,,,,,
,,Bongkar Pasang Bushing Perseneling,,"50.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Ganti Kabel Gas,,"100.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Ganti Kabel Handel Perseneling,,"150.000,00",,Mbah Datuk Tuban,,,,,,,,
,"Rabu, 10 September 2025",Las+Plug Chassis Tangki Belakang Kanan Kiri,,"550.000,00",,Pak Nor Tuban,Tangki Retak,,,,,,,
,,Jasa+Ganti Baut Kawel Chassis Tangki,4 pcs ,"100.000,00",,Pak Nor Tuban,,,,,,,,
,"Rabu, 10 September 2025",Doorlock kanan ,1 pcs,"125.000,00",,Jaya Subur,Pintu Rusak Tidak Bisa Dikunci ,,,,,,,
,,Kunci Pintu,1 set,"75.000,00",,Jaya Subur,,,,,,,,
,,Regulator Kaca Kanan,1 pcs ,"200.000,00",,Jaya Subur,Belum terpasang ,,,,,,,
,,Ongkos Kirim,,"50.000,00",,Jaya Subur,Kaca Jendela Kendor,,,,,,,
,,Storing Perbaikan Pintu Kanan,,"150.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Tips Mbah Datuk,,"50.000,00",,,,,,,,,,
,"Rabu, 10 September 2025",Ban Kawat Bekas 1100 Depan,2 pcs ,"1.650.000,00",,Adi Jaya Ban Tuban ,Ban BS Benang Disimpan (Terjual 25 Okt 2025 2 juta - ban GITI bekas set + 1.100.000),,,,,,,
,,Ban Kanan Benang GT Boncel Terjual,,"270.000,00",,Adi Jaya Ban Tuban ,,,,,,,,
,,Bongkar Pasang Ban,4 pcs,"100.000,00",,Adi Jaya Ban Tuban ,,,,,,,,
,,Oper Ban,,"20.000,00",,Adi Jaya Ban Tuban ,,,,,,,,
,,Semprot Filter Udara,,"10.000,00",,Adi Jaya Ban Tuban ,,,,,,,,
,,Semprot Radiator,,"20.000,00",,Adi Jaya Ban Tuban ,,,,,,,,
,"Jumat, 12 September 2025",GPS Inova Track (SBI) 2/12,,"134.052,00",,,,,,,,,,
,"Rabu, 17 September 2025",Seal Rem Belakang ,2 pcs ,"40.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Stempet Rotari,1 pcs ,"40.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Seal Tromol Belakang,1 pcs ,"70.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Minyak Rek Jumbo ,1 pcs ,"70.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Setel Rem+Vet,,"100.000,00",,Mbah Datuk Tuban,,,,,,,,
,,Jasa Ganti Seal Rem Belakang Engkel+Packing+Tutup Tromo Depan,,"250.000,00",,Mbah Datuk Tuban,,,,,,,,
,"Minggu, 21 September 2025",Bongkar Pasang+Nambal Ban Depan Kanan,,"60.000,00",,Sumber Nafkah Demak,"Bocor Kanan depan, ban dalam melipat",,,,,,,
,,Marset Ori Bekas,1 pcs ,"90.000,00",,Sumber Nafkah Demak,"Bocor, Double Marset ",,,,,,,
,"Minggu, 21 September 2025",Setting Klep,,"20.000,00",,Temen Mas Yono ,,,,,,,,
