NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR , OMSET , PAJAK 1% , POT LJU 2% , UJ GRB 5% , SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,CATATAN,,
25,"Sabtu, 20 Desember 2025","Minggu, 21 Desember 2025",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,,"32,16","  3.748.376,64 ","  37.483,77 ",,,"1.900.000,00","1.675.892,87",-,-,-,-,-,"35.000,00","35.000,00",Sudah dibayar 17 Mar 26,-,,"0,00",-,"100.000,00",Sudah dibayar 20 Des 25 5rit,"32.2 jadi 32.16 selisih 40kg, 20 Des 25 Mas Mawan 4 rit (2rit putih, 2 rit hijau)",,
26,"Senin, 22 Desember 2025","Selasa, 23 Desember 2025",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4",,"30,70","  3.384.564,48 ","  33.845,64 ",,,"1.750.000,00","1.500.718,84",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 30 Des 25 4rit,,,
27,"Jumat, 26 Desember 2025","Sabtu, 27 Desember 2025",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,,"32,01","  3.730.893,54 ","  37.308,94 ",,,"1.900.000,00","1.658.584,60",-,-,-,-,-,"35.000,00","35.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 30 Des 25 4rit,"32.2 jadi 32.09 selisih 190kg, 30 Des 25 Mas Mawan 4 rit (2rit putih, 2 rit hijau)",,
28,"Minggu, 28 Desember 2025","Selasa, 30 Desember 2025",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4",,"33,40","  3.682.229,76 ","  36.822,30 ",,,"1.800.000,00","1.595.407,46",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 2 Jan 26,"100.000,00",Sudah dibayar 11 Jan 26 3rit,33.48 jadi 33.4 selisih 80kg,,
29,"Jumat, 2 Januari 2026","Sabtu, 3 Januari 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"31,40","31,32","  3.650.471,28 ","  36.504,71 ",,,"1.900.000,00","1.613.966,57","0,09","0,08","0,00","0,00",-,"35.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 11 Jan 26 3rit,31.4 jadi 31.32 selisih 80kg,,
30,"Selasa, 6 Januari 2026","Kamis, 8 Januari 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"32,62","32,53","  3.791.501,62 ","  37.915,02 ",,,"1.900.000,00","1.718.586,60","0,10","0,09","0,00","0,00",-,"35.000,00","35.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 11 Jan 26 3rit,"32.62 jadi 32.53 selisih 90kg, 11 Jan 25 Mas Mawan 7 rit (4rit putih, 3 rit hijau)",,
31,"Sabtu, 10 Januari 2026","Selasa, 13 Januari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"30,02","29,93","  5.689.094,40 ","  56.890,94 ",,,"2.800.000,00","2.632.203,46","0,09","0,09","0,00","0,00",-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"100.000,00",Sudah dibayar 14 Jan 26,"100.000,00",Sudah dibayar 5 Feb 26 7 rit," 30.02 jadi 29.93, selisih 90kg",,
32.,"Rabu, 14 Januari 2026","Kamis, 15 Januari 2026",UNGARAN,KH BETON (UNGARAN),190.080,"28,04","28,17","  5.354.553,60 ","  53.545,54 ",,,"2.800.000,00","2.451.008,06","0,08","-0,13","0,00","0,00",-,"50.000,00","(50.000,00)",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 5 Feb 26 7 rit,28.04 jadi 28.17 lebih 130kg (tidak dibayar sekarang lebih sejak 1 Jan 26). Potong tonase 1 ton,,
33,"Sabtu, 17 Januari 2026","Minggu, 18 Januari 2026",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,4","32,88","32,80","  3.616.081,92 ","  36.160,82 ",,,"1.800.000,00","1.629.921,10","0,10","0,08","0,00","0,00",-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,Lupa Potong,Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 5 Feb 26 7 rit,32.88 jadi 32.8 selisih 80kg,,
34,"Rabu, 21 Januari 2026","Jumat, 23 Januari 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"32,36","32,36","  3.771.687,44 ","  37.716,87 ",,,"1.900.000,00","1.698.970,57","0,10","0,00","0,00","0,00",-,"35.000,00","35.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,"100.000,00",Sudah dibayar 5 Feb 26 7 rit,,,
