NO,TANGGAL,PENGELUARAN,,NOMINAL,KETERANGAN ,Keterangan Perbaikan ,,,,,,,
,,Ring Tembaga Booster Pump,10 pcs,"50.000,00",Mbah Datuk,Rembes Booster Pump,,,,,,,
,,Klem Selang Solar,6 pcs,"12.000,00",Mbah Datuk,,,,,,,,
,,Stempet ,,"50.000,00",Mbah Datuk,,,,,,,,
,,Filter Oli Hino,1 pcs,"150.000,00",Mbah Datuk,,,,,,,,
,,Jasa Service Oli Mesin + Masuk Angin ,,"145.000,00",Mbah Datuk,,,,,,,,
,,Ganti Filter Solar Atas Bawah,1 Set,"0,00",Mbah Datuk,"GPS 255.392 KM, Truk 255.635 Diskon Mbah datuk",,,,,,,
,,,,,,,,,,,,,
,"Sabtu, 31 Januari 2026",Pak Udin Pengurus SILOG,,"150.000,00",SILOG,Perbulan tiap tanggal 25 ,,,,,,,
,"Minggu, 30 November 2025",STNK 6/12,,"400.000,00",,,,,,,,,
,,,,,,,,,,,,,
,"Selasa, 3 Februari 2026",Engine Mounting Depan Kanan Kiri ,2 pcs,"500.000,00",Mbah Datuk,,,,,,,,
,,Snel Rem,1 pcs,"215.000,00",Mbah Datuk,,,,,,,,
,,Stempet Kobra,4 pcs,"140.000,00",Mbah Datuk,,,,,,,,
,,Seal Rem Belakang Kiri Tronton,2 pcs,"40.000,00",Mbah Datuk,,,,,,,,
,,Minyak Rem Jumbo,2 pcs,"140.000,00",Mbah Datuk,,,,,,,,
,,Seal Tromol Belakang ,1 pcs,"70.000,00",Mbah Datuk,,,,,,,,
,,Jasa Ganti Seal Rem Belakang Kiri Tronton,2 pcs,"200.000,00",Mbah Datuk,,,,,,,,
,,Jasa Rem Belakang Kiri Engkel Macet,,"200.000,00",Mbah Datuk,,,,,,,,
,,Repair Kit Snel Rem,1 pcs,"250.000,00",Mbah Datuk,,,,,,,,
,,Jasa Ganti Engine Mounting,2 pcs,"200.000,00",Mbah Datuk,,,,,,,,
,,Cross Joint Hori Depan,,"70.000,00",Mbah Datuk,,,,,,,,
,,Jasa Ganti Cross Joint Hori Depan,,"50.000,00",Mbah Datuk,,,,,,,,
,,,,,,,,,,,,,
,"Jumat, 6 Februari 2026","Filter Solar Atas Hino, Bawah Nissan",2 Set,"200.000,00",Temen Mas Rul,"Stok Filter Solar Atas 1pcs, Bawah 1 pcs",,,,,,,
,"Kamis, 12 Februari 2026",Pengecekkan Boost Pump ,,"250.000,00",Pak Dedy Tuban ,,,,,,,,
,"Kamis, 12 Februari 2026",Las Spakbor & Pasang Karpet Spakbor Belakang,,"50.000,00",Pak Nor Tuban,,,,,,,,
,"Jumat, 13 Februari 2026",Perbaikkan Kaca Kanan Anjlok & Chuke,,"100.000,00",Temen Mas Rul Sluke,,,,,,,,
,"Jumat, 13 Februari 2026",GPS Easygo (SI) 7/12,,"122.100,00",,,,,,,,,
,"Jumat, 13 Februari 2026",GPS Inova Track (SBI) 6/12,,"166.500,00",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Sabtu, 21 Februari 2026",Jasa Ganti Pen Per Kiri Depan,,"250.000,00",Pak Khaerudin Kudus Mitra Diesel,Pin Paling Depan Kiri Patah,,,,,,,
,,Pen Per Depan,1 pcs,"100.000,00",Pak Khaerudin Kudus Mitra Diesel,,,,,,,,
,"Senin, 23 Februari 2026",Ban GITI PROFIT Set 1000 R20 Tronton Kanan Luar ,1 Set,"3.400.000,00",Caping Ban Demak,"Kilometer GPS 259.037,84. Ban Engkel Kiri luar Pecah di VUB Semarang kena pembatas timbangan",,,,,,,
,"Senin, 23 Februari 2026",Bongkar Pasang Ban GITI Baru Tronton Kanan Luar + Impact,1 pcs,"40.000,00",Tambal Ban Caping Gunung ,,,,,,,,
,,Oper Ban GITI Tronton Kanan Luar Ke Engkel Kiri Luar,1 pcs,"15.000,00",Tambal Ban Caping Gunung ,,,,,,,,
,,Oper Ban,1 pcs,"15.000,00",Tambal Ban Caping Gunung ,,,,,,,,
,"Jumat, 27 Februari 2026",Stempet,,"60.000,00",Tambal Ban Guntur Putra Pati Juwana,,,,,,,,
,"Sabtu, 28 Februari 2026",Ganti Filter Solar Hino Ke Rumah & filter Nissan bekas,,"0,00",Mas Rul ganti bersama Oky,KM 259.631,,,,,,,
,"Sabtu, 28 Februari 2026",Pak Udin Pengurus SILOG,,"150.000,00",SILOG,Perbulan tiap tanggal 25 (Februari Pending),,,,,,,
,"Minggu, 30 November 2025",STNK 7/12,,"400.000,00",,,,,,,,,
,,,,,,,,,,,,,
,"Minggu, 1 Maret 2026",Karet Stabilizer Hop,4 pcs ,"600.000,00",Jaya Subur,Engkel Kanan Kiri ,,,,,,,
,"Selasa, 3 Maret 2026",Jasa Bongkar Pasang Karet Stabilizer Engkel Kanan Kiri,4 pcs ,"180.000,00",Sluke,,,,,,,,
,"Sabtu, 7 Maret 2026",Stempet Boogie + Per Depan,,"25.000,00",SIS Putri Kembar Lasem,,,,,,,,
,,Kontrol Angin Ban,,"25.000,00",SIS Putri Kembar Lasem,,,,,,,,
,,Semprot Filter Udara,,"10.000,00",SIS Putri Kembar Lasem,,,,,,,,
,,Setel Stir,,"30.000,00",SIS Putri Kembar Lasem,,,,,,,,
,"Minggu, 8 Maret 2026",GPS Easygo (SI) 8/12,,"122.100,00",,,,,,,,,
,"Minggu, 8 Maret 2026",GPS Inova Track (SBI) 7/12,,"166.500,00",,,,,,,,,
,"Selasa, 10 Maret 2026",Ganti Filter Solar Atas Bawah,,"0,00",Mbah Datuk,"KM 260.696,Stok Filter Solar Atas 0 pcs, Bawah 0 pcs",,,,,,,
,"Selasa, 10 Maret 2026",Las Selebor Belakang ,,"50.000,00",Pak Nor Tuban,,,,,,,,
,"Kamis, 12 Maret 2026",Pasang Baut Roda ,2 pcs ,"70.000,00",Tambal Ban Via Tuban,Engkel Kiri ,,,,,,,
,,Oper Velg,2 pcs ,"80.000,00",Tambal Ban Via Tuban,,,,,,,,
,,Marset,1 pcs ,"40.000,00",Tambal Ban Via Tuban,Tuker dengan Ban Cadangan,,,,,,,
,,Kontrol Baut Roda ,,"20.000,00",Tambal Ban Via Tuban,,,,,,,,
,,,,,,,,,,,,,
,"Jumat, 13 Maret 2026",Ganti Ban Dalam,1 pcs,"40.000,00",Caping Demak,Bocor Engkel Kiri Luar,,,,,,,
,"Sabtu, 14 Maret 2026",Cuci Truk Temen Mas Khoirul,,"50.000,00",Sluke,,,,,,,,
,"Minggu, 15 Maret 2026",Tambahan Uang Nginep Bawen,,"250.000,00",,,,,,,,,
,"Senin, 16 Maret 2026",Cat Bee Brand 166 Mayan Yellow,1 kg,"75.000,00",Bintang Arut Lasem,"Cat Pelindung Samping, Slebor & Pipa ",,,,,,,
,,Cat Bee Brand 9109 Super White,0.4 L,"40.000,00",Bintang Arut Lasem,,,,,,,,
,,Amplas Essen,0.5 m,"10.000,00",Bintang Arut Lasem,,,,,,,,
,,"Kuas 2"" Eterna",2 pcs,"10.000,00",Bintang Arut Lasem,,,,,,,,
,,Thiner Nippon 9000B,1 kg,"25.000,00",Bintang Arut Lasem,,,,,,,,
