,,,,,,,,,,,,,,,,,,
,NO,ZONE KODE,KOTA / KABUPATEN,DESTINATION KODE,TUJUAN,TARIF OA,TONASE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Semen Bulk : GROBOGAN - RUTE JAWA TIMUR,,,,,,,,,,,,,,,,,
,,0409, PASURUAN,040903,Gempol, Rp 174.282 , Rp 45.000 ,," Rp 9.370,00 "," Rp 3.748,00 "," Rp 116.188,00 "," Rp 174.282,00 "," Rp 45.000,00 ", Rp 5.402.742 , Rp 2.900.000 , Rp 2.502.742 ," Rp 290.470,00 "," Rp 2.793.211,89 "
,,0467, JOMBANG,046709,Kabuh, Rp 137.826 , Rp 45.000 ,," Rp 7.410,00 "," Rp 2.964,00 "," Rp 91.884,00 "," Rp 137.826,00 "," Rp 45.000,00 ", Rp 4.272.606 , Rp 2.350.000 , Rp 1.922.606 ," Rp 229.710,00 "," Rp 2.152.316,47 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,," Rp 6.435,00 "," Rp 199.485,00 ",,,,,,,
,,,,,,,,,," Rp 5.894,46 "," Rp 182.728,26 ",,,,,,,
,,,,,,,,,," Rp 6.084,00 "," Rp 188.604,00 ",,,,,,,
,,,,,,,,,," Rp 5.990,40 "," Rp 185.702,40 ",,,,,,,
,,,,,,,,,," Rp 4.532,58 "," Rp 140.509,98 ",,,,,,,
,,,,,,,,,," Rp 4.960,80 "," Rp 153.784,80 ",,,,,,,
,,,,,,,,,," Rp 4.555,98 "," Rp 141.235,38 ",,,,,,,
,,,,,,,,,," Rp 4.525,98 "," Rp 140.305,38 ",,,,,,,
,,,,,,,,,," Rp 5.148,00 "," Rp 159.588,00 ",,,,,,,
,,,,,,,,,," Rp 6.273,54 "," Rp 194.479,74 ",,,,,,,
,,,,,,,,,," Rp 6.559,02 "," Rp 203.329,62 ",,,,,,,
,,,,,,,,,," Rp 7.841,34 "," Rp 243.081,54 ",,,,,,,
,,,,,,,,,," Rp 4.794,66 "," Rp 148.634,46 ",,,,,,,
,,,,,,,,,," Rp 4.663,62 "," Rp 144.572,22 ",,,,,,,
,,,,,,,,,," Rp 4.794,66 "," Rp 148.634,46 ",,,,,,,
,,,,,,,,,," Rp 4.532,58 "," Rp 140.509,98 ",,,,,,,
,,,,,,,,,," Rp 4.532,58 "," Rp 140.509,98 ",,,,,,,
,,,,,,,,,," Rp 5.090,31 "," Rp 157.799,61 ",,,,,,,
,,,,,,,,,," Rp 4.902,30 "," Rp 151.971,30 ",,,,,,,
,,,,,,,,,," Rp 5.382,00 "," Rp 166.842,00 ",,,,,,,
,,,,,,,,,," Rp 3.996,72 "," Rp 123.898,32 ",,,,,,,
,,,,,,,,,," Rp 5.210,16 "," Rp 161.514,96 ",,,,,,,
,,,,,,,,,," Rp 5.333,97 "," Rp 165.353,07 ",,,,,,,
,,,,,,,,,," Rp 5.622,00 "," Rp 174.282,00 ",,,,,,,
,,,,,,,,,," Rp 4.446,00 "," Rp 137.826,00 ",,,,,,,
